Numero de Documento,Expediente,Placa,Vigencia,Nombre Completo,SADE,Valor Embargo,Fecha Generacion MP
1000000001,076-2017-000001,AAB001,2017,SANDRA MARIA NAVARRO ACOSTA,SADE-0000001,6200000,2017-03-24
1000000002,076-2008-000002,AAC002,2008,ESPERANZA ANA ROJAS BERMUDEZ,SADE-0000002,1300000,2008-01-03
1000000003,076-2010-000003,AAD003,2010,FABIO VALENTINA REYES LOPEZ,SADE-0000003,14800000,2010-04-23
1000000004,076-2017-000004,AAE004,2017,ESPERANZA CAMILO RIOS PRADA,SADE-0000004,7600000,2017-01-25
1000000005,076-2019-000005,AAF005,2019,HERNANDO DIANA CORREA NAVARRO,SADE-0000005,4400000,2019-04-25
1000000006,076-2012-000006,AAG006,2012,PEDRO ANA MONTOYA HERRERA,SADE-0000006,9600000,2012-06-20
1000000007,076-2011-000007,AAH007,2011,CARLOS SOFIA ROMERO MARTINEZ,SADE-0000007,10100000,2011-02-18
1000000008,076-2011-000008,AAI008,2011,CATALINA BEATRIZ CASTILLO VARGAS,SADE-0000008,2200000,2011-01-22
1000000009,076-2010-000009,AAJ009,2010,OSCAR ANA RIOS HERRERA,SADE-0000009,10200000,2010-05-15
1000000010,076-2017-000010,AAK010,2017,BEATRIZ HERNANDO SALAZAR PALACIOS,SADE-0000010,5800000,2017-11-09
1000000011,076-2018-000011,AAL011,2018,JORGE ALEJANDRO JIMENEZ ROMERO,SADE-0000011,6700000,2018-03-15
1000000012,076-2013-000012,AAM012,2013,YOLANDA ALEXANDRA RIOS GUTIERREZ,SADE-0000012,1900000,2013-04-27
1000000013,076-2007-000013,AAN013,2007,GERMAN PAOLA NAVARRO TORRES,SADE-0000013,5900000,2007-10-23
1000000014,076-2012-000014,AAO014,2012,MONICA FELIPE RESTREPO BELTRAN,SADE-0000014,4100000,2012-05-05
1000000015,076-2010-000015,AAP015,2010,ALEXANDRA ESPERANZA ORTIZ ROJAS,SADE-0000015,11400000,2010-10-13
1000000016,076-2012-000016,AAQ016,2012,FABIO DIEGO BUITRAGO GAVIRIA,SADE-0000016,2800000,2012-01-28
1000000017,076-2008-000017,AAR017,2008,CLAUDIA HERNANDO BERMUDEZ REYES,SADE-0000017,2100000,2008-07-13
1000000018,076-2016-000018,AAS018,2016,SOFIA MAURICIO ORTIZ MORENO,SADE-0000018,700000,2016-11-24
1000000019,076-2008-000019,AAT019,2008,ESPERANZA YOLANDA CORREA MARTINEZ,SADE-0000019,8000000,2008-07-06
1000000020,076-2014-000020,AAU020,2014,JUAN WILLIAM BUITRAGO SUAREZ,SADE-0000020,13400000,2014-02-28
1000000021,076-2017-000021,AAV021,2017,ADRIANA VALENTINA REYES VARGAS,SADE-0000021,4400000,2017-06-25
1000000022,076-2009-000022,AAW022,2009,ESPERANZA MAURICIO GOMEZ REYES,SADE-0000022,8700000,2009-08-01
1000000023,076-2008-000023,AAX023,2008,BEATRIZ ADRIANA ACOSTA DIAZ,SADE-0000023,6600000,2008-10-03
1000000024,076-2008-000024,AAY024,2008,FELIPE JORGE ROMERO CASTRO,SADE-0000024,3700000,2008-11-16
1000000025,076-2015-000025,AAZ025,2015,HERNANDO WILLIAM SANCHEZ REYES,SADE-0000025,11300000,2015-04-18
1000000026,076-2019-000026,ABA026,2019,RICARDO ADRIANA RESTREPO SALAZAR,SADE-0000026,11700000,2019-09-15
1000000027,076-2008-000027,ABB027,2008,LILIANA FABIO TORRES CORREA,SADE-0000027,1000000,2008-10-18
1000000028,076-2010-000028,ABC028,2010,PATRICIA FABIO GOMEZ TORRES,SADE-0000028,2000000,2010-04-03
1000000029,076-2021-000029,ABD029,2021,CARLOS NUBIA TORRES BUITRAGO,SADE-0000029,6500000,2021-05-22
1000000030,076-2014-000030,ABE030,2014,MONICA ESPERANZA CASTRO CASTILLO,SADE-0000030,12600000,2014-04-26
1000000031,076-2014-000031,ABF031,2014,CAMILO RICARDO HERRERA HERRERA,SADE-0000031,11500000,2014-06-14
1000000032,076-2013-000032,ABG032,2013,SOFIA LUISA HERRERA DIAZ,SADE-0000032,10800000,2013-12-11
1000000033,076-2019-000033,ABH033,2019,PEDRO LILIANA VARGAS VARGAS,SADE-0000033,14200000,2019-08-05
1000000034,076-2013-000034,ABI034,2013,GLORIA YOLANDA BELTRAN ACOSTA,SADE-0000034,2400000,2013-08-26
1000000035,076-2020-000035,ABJ035,2020,ALEXANDRA PEDRO DIAZ ROMERO,SADE-0000035,800000,2020-02-25
1000000036,076-2020-000036,ABK036,2020,LILIANA HERNANDO QUINTERO GAVIRIA,SADE-0000036,12800000,2020-04-28
1000000037,076-2013-000037,ABL037,2013,LUISA HERNANDO MONTOYA GOMEZ,SADE-0000037,10400000,2013-05-26
1000000038,076-2019-000038,ABM038,2019,SOFIA OSCAR BERMUDEZ MORENO,SADE-0000038,12900000,2019-03-07
1000000039,076-2011-000039,ABN039,2011,MONICA LUISA ROJAS ROMERO,SADE-0000039,2000000,2011-12-11
1000000040,076-2007-000040,ABO040,2007,LUISA PATRICIA CUELLAR BUITRAGO,SADE-0000040,14000000,2007-03-02
1000000041,076-2015-000041,ABP041,2015,ANA GLORIA TORRES REYES,SADE-0000041,2200000,2015-11-28
1000000042,076-2010-000042,ABQ042,2010,PAOLA SANDRA CASTILLO ACOSTA,SADE-0000042,1500000,2010-10-03
1000000043,076-2013-000043,ABR043,2013,PATRICIA FERNANDO SANCHEZ GUTIERREZ,SADE-0000043,7100000,2013-04-22
1000000044,076-2018-000044,ABS044,2018,GERMAN LILIANA ORTIZ RESTREPO,SADE-0000044,3800000,2018-11-21
1000000045,076-2011-000045,ABT045,2011,SOFIA GERMAN TORRES GOMEZ,SADE-0000045,12200000,2011-10-19
1000000046,076-2008-000046,ABU046,2008,JORGE ESPERANZA PENA BUITRAGO,SADE-0000046,7200000,2008-03-12
